1	0.04	0.00
2	0.06	0.00
3	0.08	0.00
4	0.10	0.00
5	0.00	0.02
6	0.02	0.02
7	0.04	0.02
8	0.06	0.02
9	0.08	0.02
10	0.10	0.02
11	0.00	0.04
12	0.02	0.04
13	0.04	0.04
14	0.06	0.04
15	0.08	0.04
16	0.10	0.04
17	0.00	0.06
18	0.02	0.06
19	0.04	0.06
20	0.06	0.06
21	0.08	0.06
22	0.10	0.06
23	0.00	0.08
24	0.02	0.08
25	0.04	0.08
26	0.06	0.08
27	0.08	0.08
28	0.10	0.08
29	0.00	0.10
30	0.02	0.10
31	0.04	0.10
32	0.06	0.10
33	0.08	0.10
34	0.10	0.10

1	2	7
2	8	7
2	3	8
3	9	8
3	4	9
4	10	9
5	6	11
6	12	11
6	7	12
7	13	12
7	8	12
8	14	13
8	9	14
9	15	14
9	10	15
10	16	15
11	12	17
12	18	17
12	13	18
13	19	18
13	14	19
14	20	19
14	15	20
15	21	20
15	16	21
16	22	21
17	18	23
18	24	23
18	19	24
19	25	24
19	20	25
20	26	25
20	21	26
21	27	26
21	22	27
22	28	27
23	24	29
24	30	29
24	25	30
25	30	31
25	26	31
26	32	31
26	27	32
27	33	32
27	28	33
28	34	33

5	110.0
6	110.0
7	110.0
4	0.0
10	0.0
15	0.0
22	0.0
28	0.0
34	0.0


