1       0.04    0.00
2       0.06    0.00
3       0.08    0.00
4       0.10    0.00
5       0.00    0.02
6       0.02    0.02
7       0.04    0.02
8       0.06    0.02
9       0.08    0.02
10      0.10    0.02
11      0.00    0.04
12      0.02    0.04
13      0.04    0.04
14      0.06    0.04
15      0.08    0.04
16      0.10    0.04
17      0.00    0.06
18      0.02    0.06
19      0.04    0.06
20      0.06    0.06
21      0.08    0.06
22      0.10    0.06
23      0.00    0.08
24      0.02    0.08
25      0.04    0.08
26      0.06    0.08
27      0.08    0.08
28      0.10    0.08
29      0.00    0.10
30      0.02    0.10
31      0.04    0.10
32      0.06    0.10
33      0.08    0.10
34      0.10    0.10
