1       2       7
2       8       7
2       3       8
3       9       8
3       4       9
4       10      9
5       6       11
6       12      11
6       7       12
7       13      12
7       8       12
8       14      13
8       9       14
9       15      14
9       10      15
10      16      15
11      12      17
12      18      17
12      13      18
13      19      18
13      14      19
14      20      19
14      15      20
15      21      20
15      16      21
16      22      21
17      18      23
18      24      23
18      19      24
19      25      24
19      20      25
20      26      25
20      21      26
21      27      26
21      22      27
22      28      27
23      24      29
24      30      29
24      25      30
25      30      31
25      26      31
26      32      31
26      27      32
27      33      32
27      28      33
28      34      33
